,title,description,link,published
21,Во Франции оценили число погибших из-за циклона «Шидо»,,https://lenta.ru/news/2024/12/15/shido/,"Sun, 15 Dec 2024 21:42:00 +0300"
22,Лукашенко вручил ППШ султану Омана,,https://lenta.ru/news/2024/12/15/lukashenko-vruchil-ppsh-sultanu-omana/,"Sun, 15 Dec 2024 21:40:00 +0300"
23,Сборная России с рекордом выиграла на чемпионате мира по плаванию,,https://lenta.ru/news/2024/12/15/sbornaya-rossii-s-rekordom-vyigrala-na-chempionate-mira-po-plavaniyu/,"Sun, 15 Dec 2024 21:33:00 +0300"
24,В Германии задумались о выходе из НАТО,,https://lenta.ru/news/2024/12/15/v-germanii-zadumalis-o-vyhode-iz-nato/,"Sun, 15 Dec 2024 21:32:00 +0300"
25,Украинские военкомы нашли новый способ предотвратить побег мобилизованных,,https://lenta.ru/news/2024/12/15/ukrainskie-voenkomy-nashli-novyy-sposob-predotvratit-pobeg-mobilizovannyh/,"Sun, 15 Dec 2024 21:31:00 +0300"
26,"Таинственные огромные кошки бродят по Британии. Почему ученые утверждают, что их не существует?",,https://lenta.ru/news/2024/12/15/big-cats/,"Sun, 15 Dec 2024 21:28:04 +0300"
27,В Одессе сотрудники ТЦК замаскировались под Дедов Морозов,,https://lenta.ru/news/2024/12/15/v-odesse-sotrudniki-ttsk-nachali-pereodevatsya-v-kostyumy-deda-moroza/,"Sun, 15 Dec 2024 21:27:00 +0300"
28,Четыре человека пострадали в результате пожара в центре Москвы,,https://lenta.ru/news/2024/12/15/chetyre-cheloveka-postradali-v-rezultate-pozhara-v-tsentre-moskvy/,"Sun, 15 Dec 2024 21:19:00 +0300"
29,Пушилин раскрыл процент оставшейся под контролем ВСУ территории Курахово,,https://lenta.ru/news/2024/12/15/pushilin-raskryl-protsent-ostavsheysya-pod-kontrolem-vsu-territorii-kurahovo/,"Sun, 15 Dec 2024 21:18:00 +0300"
30,В Германии потребовали от властей признать победу России,,https://lenta.ru/news/2024/12/15/v-germanii-potrebovali-ot-vlastey-priznat-pobedu-rossii/,"Sun, 15 Dec 2024 21:10:00 +0300"
31,Кадыров прокомментировал приостановку поставок пшеницы из России в Сирию,,https://lenta.ru/news/2024/12/15/kadyrov-prokommentiroval-priostanovku-postavok-pshenitsy-iz-rossii-v-siriyu/,"Sun, 15 Dec 2024 21:08:00 +0300"
32,Советник Трампа сделал заявление после инцидента с неизвестными беспилотниками,,https://lenta.ru/news/2024/12/15/sovetnik-trampa-sdelal-zayavlenie-posle-intsidenta-s-neizvestnymi-bespilotnikami/,"Sun, 15 Dec 2024 21:05:00 +0300"
33,В России заявили о запасах угля на 500 лет,,https://lenta.ru/news/2024/12/15/v-rossii-zayavili-o-zapasah-uglya-na-500-let/,"Sun, 15 Dec 2024 21:01:00 +0300"
34,На Украине высказались о принесенном лишь горе и потерях из-за поддержки США,,https://lenta.ru/news/2024/12/15/na-ukraine-vyskazali-o-prinesennom-lish-gore-i-poteryah-iz-za-podderzhki-ssha-ukraine/,"Sun, 15 Dec 2024 20:58:00 +0300"
35,В ДНР доложили о запертых в «кармане» сотнях бойцов ВСУ,,https://lenta.ru/news/2024/12/15/v-dnr-dolozhili-o-zapertyh-v-karmane-sotnyah-boytsov-vsu/,"Sun, 15 Dec 2024 20:50:00 +0300"
36,Ротенберг заявил о готовности обратиться в правоохранительные органы из-за судейства,,https://lenta.ru/news/2024/12/15/rotenberg-zayavil-o-gotovnosti-obratitsya-v-pravoohranitelnye-organy-iz-za-sudeystva/,"Sun, 15 Dec 2024 20:46:00 +0300"
37,Нетаньяху провел с Трампом важный разговор,,https://lenta.ru/news/2024/12/15/netanyahu-provel-s-trampom-vazhnyy-razgovor/,"Sun, 15 Dec 2024 20:40:00 +0300"
38,Врач оценила состояние госпитализированных моряков с потерпевшего крушение танкера,,https://lenta.ru/news/2024/12/15/vrach-otsenila-sostoyanie-gospitalizirovannyh-moryakov-s-poterpevshego-krushenie-tankera/,"Sun, 15 Dec 2024 20:30:00 +0300"
39,В партии Шольца решили прописать в предвыборной программе отказ от поставок Киеву Taurus,,https://lenta.ru/news/2024/12/15/v-partii-sholtsa-reshili-propisat-v-predvybornoy-programme-otkaz-ot-postavok-kievu-taurus/,"Sun, 15 Dec 2024 20:26:00 +0300"
40,В команде Трампа заявили о готовности рассмотреть одну инициативу по Украине,,https://lenta.ru/news/2024/12/15/v-komande-trampa-zayavili-o-gotovnosti-rassmotret-odnu-initsiativu-po-ukraine/,"Sun, 15 Dec 2024 20:20:00 +0300"
41,Власти Ульяновской области назвали украинским фейком информацию о взрыве в регионе,,https://lenta.ru/news/2024/12/15/vlasti-ulyanovskoy-oblasti-nazvali-ukrainskim-feykom-informatsiyu-o-vzryve-v-regione/,"Sun, 15 Dec 2024 20:04:00 +0300"
42,Россия объявила об эвакуации части персонала загранпредставительств в Дамаске,,https://lenta.ru/news/2024/12/15/rossiya-ob-yavila-ob-evakuatsii-chasti-personala-zagranpredstavitelstv-v-damaske/,"Sun, 15 Dec 2024 20:00:00 +0300"
43,Российскому политологу запретили въезд в Армению,,https://lenta.ru/news/2024/12/15/rossiyskomu-politologu-zapretili-v-ezd-v-armeniyu/,"Sun, 15 Dec 2024 19:57:00 +0300"
44,Захарова словами «бес попутал» объяснила съемки кулинарного шоу в Киево-Печерской лавре,,https://lenta.ru/news/2024/12/15/zaharova-slovami-bes-poputal-ob-yasnila-s-emki-kulinarnogo-shou-v-kievo-pecherskoy-lavre/,"Sun, 15 Dec 2024 19:55:00 +0300"
45,В Венгрии оценили участие российских пловцов в чемпионате мира,,https://lenta.ru/news/2024/12/15/v-vengrii-otsenili-uchastie-rossiyskih-plovtsov-v-chempionate-mira/,"Sun, 15 Dec 2024 19:54:00 +0300"
46,В Госдуме прокомментировали митинги в Финляндии за открытие границ с Россией,,https://lenta.ru/news/2024/12/15/v-gosdume-prokommentirovali-mitingi-v-finlyandii-za-otkrytie-granits-s-rossiey/,"Sun, 15 Dec 2024 19:48:00 +0300"
47,Раскрыты подробности о грузе поврежденных штормом в Керченском проливе танкеров,,https://lenta.ru/news/2024/12/15/stalo-izvestno-o-gruze-povrezhdennyh-sudov/,"Sun, 15 Dec 2024 19:45:00 +0300"
48,В ВСУ заявили о полной потере контроля над районом высоток в Курахово,,https://lenta.ru/news/2024/12/15/v-vsu-zayavili-o-polnoy-potere-kontrolya-nad-rayonom-vysotok-v-kurahovo/,"Sun, 15 Dec 2024 19:29:00 +0300"
49,Франция впервые за 12 лет направит в Сирию дипломатов,,https://lenta.ru/news/2024/12/15/frantsiya-vpervye-za-12-let-napravit-v-siriyu-diplomatov/,"Sun, 15 Dec 2024 19:24:00 +0300"
50,Стало известно о тяжелом состоянии пострадавшего при крушении танкера в Керчи моряка,,https://lenta.ru/news/2024/12/15/stalo-izvestno-o-tyazhelom-sostoyanii-postradavshego-pri-krushenii-tankera-v-kerchi-moryaka/,"Sun, 15 Dec 2024 19:22:00 +0300"
51,Российские морпехи уничтожили «облепленный толпой пехоты» украинский танк под Курском,,https://lenta.ru/news/2024/12/15/rossiyskie-morpehi-unichtozhili-obleplennyy-tolpoy-pehoty-ukrainskiy-tank-pod-kurskom/,"Sun, 15 Dec 2024 19:21:00 +0300"
52,NYT назвала ставший источником вдохновения для Си Цзиньпина русский роман,,https://lenta.ru/news/2024/12/15/nyt-nazvala-stavshiy-istochnikom-vdohnoveniya-dlya-si-tszinpina-russkiy-roman/,"Sun, 15 Dec 2024 19:14:00 +0300"
53,В МИД России объяснили критику Захаровой слов немецкого посла,,https://lenta.ru/news/2024/12/15/v-mid-rossii-ob-yasnili-kritiku-zaharovoy-slov-nemetskogo-posla/,"Sun, 15 Dec 2024 19:04:00 +0300"
54,Хинштейн призвал эвакуировать жителей освобожденных от ВСУ курских сел,,https://lenta.ru/news/2024/12/15/hinshteyn-prizval-evakuirovat-zhiteley-osvobozhdennyh-ot-vsu-kurskih-sel/,"Sun, 15 Dec 2024 18:55:00 +0300"
55,Операцию по спасению экипажа танкера «Волгонефть-239» приостановили,,https://lenta.ru/news/2024/12/15/operatsiyu-po-spaseniyu-ekipazha-tankera-volgoneft-239-priostanovili/,"Sun, 15 Dec 2024 18:46:00 +0300"
56,Ротенберг высказался о возвращении сборной России на международные турниры,,https://lenta.ru/news/2024/12/15/rotenberg-vyskazalsya-o-vozvraschenii-sbornoy-rossii-na-mezhdunarodnye-turniry/,"Sun, 15 Dec 2024 18:40:00 +0300"
57,Протестующие в Грузии вновь перекрыли проспект Руставели,,https://lenta.ru/news/2024/12/15/protestuyuschie-v-gruzii-vnov-perekryli-prospekt-rustaveli/,"Sun, 15 Dec 2024 18:39:00 +0300"
58,Бывшего генпрокурора Украины обвинили в пытках,,https://lenta.ru/news/2024/12/15/byvshego-genprokurora-ukrainy-obvinili-v-pytkah/,"Sun, 15 Dec 2024 18:33:00 +0300"
59,Матрос с танкера рассказал о моменте крушения судна в Керченском проливе,,https://lenta.ru/news/2024/12/15/matros-s-tankera-rasskazal-o-momente-krusheniya-sudna-v-kerchenskom-prolive/,"Sun, 15 Dec 2024 18:24:00 +0300"
60,ВС России расширили плацдарм на западном берегу реки Оскол,,https://lenta.ru/news/2024/12/15/vs-rossii-rasshirili-platsdarm-na-zapadnom-beregu-reki-oskol/,"Sun, 15 Dec 2024 18:19:43 +0300"
61,В городах Финляндии прошли митинги в поддержку открытия границ с Россией,,https://lenta.ru/news/2024/12/15/v-gorodah-finlyandii-proshli-mitingi-v-podderzhku-otkrytiya-granits-s-rossiey/,"Sun, 15 Dec 2024 18:19:00 +0300"
62,Ударная группа ВМС США с авианосцем «Гарри Трумэн» прибыла на Ближний Восток,,https://lenta.ru/news/2024/12/15/udarnaya-gruppa-vms-ssha-s-avianostsem-garri-trumen-pribyla-na-blizhniy-vostok/,"Sun, 15 Dec 2024 18:14:47 +0300"
63,Раскрыто состояние спасенных с затонувшего танкера моряков,,https://lenta.ru/news/2024/12/15/raskryto-sostoyanie-spasennyh-s-zatonuvshego-tankera-moryakov/,"Sun, 15 Dec 2024 18:06:00 +0300"
64,Россиянин побывал в США и описал местных словами «любят халяву больше нашего»,,https://lenta.ru/news/2024/12/15/rossiyanin-pobyval-v-ssha-i-opisal-mestnyh-slovami-lyubyat-halyavu-bolshe-nashego/,"Sun, 15 Dec 2024 18:01:00 +0300"
65,Опубликованы записи переговоров с экипажами потерпевших бедствие у берегов Керчи танкеров,,https://lenta.ru/news/2024/12/15/opublikovany-zapisi-peregovorov-s-ekipazhami-poterpevshimi-bedstvie-u-beregov-kerchi-tankerov/,"Sun, 15 Dec 2024 17:59:00 +0300"
66,Прихожан возмутили съемки кулинарного шоу в Киево-Печерской лавре,,https://lenta.ru/news/2024/12/15/prihozhan-vozmutili-s-emki-kulinarnogo-shou-v-kievo-pecherskoy-lavre/,"Sun, 15 Dec 2024 17:57:00 +0300"
67,В России объяснили отказ Зеленского общаться с Орбаном,,https://lenta.ru/news/2024/12/15/v-rossii-ob-yasnili-otkaz-zelenskogo-obschatsya-s-orbanom/,"Sun, 15 Dec 2024 17:45:00 +0300"
68,Ушедший из России концерн BMW вновь запатентовал свои машины в стране,,https://lenta.ru/news/2024/12/15/ushedshiy-iz-rossii-kontsern-bmw-vnov-zapatentoval-svoi-mashiny-v-strane/,"Sun, 15 Dec 2024 17:43:00 +0300"
69,Папа римский назвал народы России и Украины братскими,,https://lenta.ru/news/2024/12/15/brothers/,"Sun, 15 Dec 2024 17:39:00 +0300"
70,Хинштейн заявил о тяжелейших условиях в оккупированных под Курском деревнях,,https://lenta.ru/news/2024/12/15/hinshteyn-zayavil-o-tyazheleyshih-usloviyah-v-okkupirovannyh-pod-kurskom-derevnyah/,"Sun, 15 Dec 2024 17:38:00 +0300"
71,В Эстонии Дональда Трампа назвали возможным «Черчиллем нашего времени»,,https://lenta.ru/news/2024/12/15/v-estonii-donalda-trampa-nazvali-vozmozhnym-cherchillem-nashego-vremeni/,"Sun, 15 Dec 2024 17:35:00 +0300"
72,Раскрыто местоположение потерпевшего бедствие танкера «Волгонефть-239»,,https://lenta.ru/news/2024/12/15/raskryto-mestopolozhenie-poterpevshego-bedstvie-tankera-volgoneft-239/,"Sun, 15 Dec 2024 17:31:00 +0300"
73,Бастрыкин поручил доложить о деле крушения танкеров в Керчи,,https://lenta.ru/news/2024/12/15/bastrykin-poruchil-dolozhit-o-dele-krusheniya-tankerov-v-kerchi/,"Sun, 15 Dec 2024 17:27:00 +0300"
74,Производитель водки перевел ВСУ больше миллиарда рублей. Эти деньги он получил от бизнеса в России,,https://lenta.ru/news/2024/12/15/proizvoditel-vodki-perevel-vsu-1-3-milliarda-rubley-za-schet-biznesa-v-rossii-ukraina-ego-obvinyala-v-finansirovanii-svo/,"Sun, 15 Dec 2024 17:26:00 +0300"
75,В Грузии заявили об обнаружении 11 умерших иностранцев,,https://lenta.ru/news/2024/12/15/v-gruzii-zayavili-ob-obnaruzhenii-11-umershih-inostrantsev/,"Sun, 15 Dec 2024 17:21:00 +0300"
76,Стала известна судьба капитана танкера «Волгонефть-212»,,https://lenta.ru/news/2024/12/15/stala-izvestna-sudba-kapitana-tankera-volgoneft-212/,"Sun, 15 Dec 2024 17:19:00 +0300"
77,Израиль закрыл посольство в Ирландии,,https://lenta.ru/news/2024/12/15/israel-embassy/,"Sun, 15 Dec 2024 17:18:00 +0300"
78,Сменившая гражданство российская фигуристка выиграла чемпионат Казахстана,,https://lenta.ru/news/2024/12/15/smenivshaya-grazhdanstvo-rossiyskaya-figuristka-vyigrala-chempionat-kazahstana/,"Sun, 15 Dec 2024 17:16:00 +0300"
79,В Совфеде заявили о готовящейся политической провокации в Грузии,,https://lenta.ru/news/2024/12/15/pushkov-zaru/,"Sun, 15 Dec 2024 17:15:00 +0300"
80,В Словакии назвали возможный сценарий для Украины,,https://lenta.ru/news/2024/12/15/v-slovakii-nazvali-vozmozhnyy-stsenariy-dlya-ukrainy/,"Sun, 15 Dec 2024 16:59:00 +0300"
81,МИД Украины призвал конфисковать российские активы,,https://lenta.ru/news/2024/12/15/sybiha-speaks/,"Sun, 15 Dec 2024 16:52:00 +0300"
82,С экипажем поврежденного в Керченском проливе танкера установили связь,,https://lenta.ru/news/2024/12/15/s-ekipazhem-povrezhdennogo-v-kerchenskom-prolive-tankera-ustanovili-svyaz/,"Sun, 15 Dec 2024 16:44:00 +0300"
83,Потерпевших с танкера в Керчи доставили в больницу,,https://lenta.ru/news/2024/12/15/poterpevshih-s-tankera-v-kerchi-dostavili-v-bolnitsu/,"Sun, 15 Dec 2024 16:41:00 +0300"
84,В Британии предрекли скорый отказ бойцов ВСУ подчиняться приказам командования,,https://lenta.ru/news/2024/12/15/v-britanii-predrekli-skoryy-otkaz-boytsov-vsu-podchinyatsya-prikazam-komandovaniya/,"Sun, 15 Dec 2024 16:36:00 +0300"
85,Сборная «Россия 25» выиграла Кубок Первого канала,,https://lenta.ru/news/2024/12/15/sbornaya-rossiya-25-vyigrala-kubok-pervogo-kanala/,"Sun, 15 Dec 2024 16:32:15 +0300"
86,Пушилин рассказал о контроле российских военных над высотными зданиями Дзержинска,,https://lenta.ru/news/2024/12/15/pushilin-rasskazal-o-kontrole-rossiyskih-voennyh-nad-vysotnymi-zdaniyami-dzerzhinska/,"Sun, 15 Dec 2024 16:32:00 +0300"
87,Кадыров заявил об ударах «Искандером» по объекту в Харькове,,https://lenta.ru/news/2024/12/15/kadyrov-zayavil-ob-udarah-iskanderom-po-ob-ektu-v-harkove/,"Sun, 15 Dec 2024 16:29:00 +0300"
88,Оценена экологическая угроза из-за разлива нефти после крушения танкеров в Керчи,,https://lenta.ru/news/2024/12/15/otsenena-ekologicheskaya-ugroza-iz-za-razliva-nefti-posle-krusheniya-tankerov-v-kerchi/,"Sun, 15 Dec 2024 16:17:00 +0300"
89,Пушков обвинил Зурабишвили в подготовке провокации,,https://lenta.ru/news/2024/12/15/provokaciya/,"Sun, 15 Dec 2024 16:13:00 +0300"
90,Российская команда с украинским игроком стала чемпионом мира по Counter-Strike 2,,https://lenta.ru/news/2024/12/15/rossiyskaya-komanda-s-ukrainskim-igrokom-stala-chempionom-mira-po-counter-strike-2/,"Sun, 15 Dec 2024 16:11:02 +0300"
91,В приглашении лидера КНР на инаугурацию Трампа увидели слабость и желание застать врасплох,,https://lenta.ru/news/2024/12/15/v-priglashenii-lidera-knr-na-inauguratsiyu-trampa-uvideli-slabost-i-zhelanie-zastat-vrasploh/,"Sun, 15 Dec 2024 16:08:00 +0300"
92,Путин поручил организовать спасательные работы в Керчи после бедствия с танкерами,,https://lenta.ru/news/2024/12/15/putin-poruchil-organizovat-spasatelnye-raboty-v-kerchi-posle-bedstviya-s-tankerami/,"Sun, 15 Dec 2024 16:07:00 +0300"
93,Россиянка на протяжении девяти лет избивала детей и зашивала их раны,,https://lenta.ru/news/2024/12/15/rossiyanka-na-protyazhenii-devyati-let-izbivala-detey-i-zashivala-ih-rany/,"Sun, 15 Dec 2024 16:04:00 +0300"
94,Из-за гибели моряка с одного из затонувших танкеров переквалифицировали уголовное дело,,https://lenta.ru/news/2024/12/15/iz-za-gibeli-moryaka-s-odnogo-iz-zatonuvshih-tankerov-perekvalifitsirovali-ugolovnoe-delo/,"Sun, 15 Dec 2024 16:03:00 +0300"
95,Ущерб от разлива мазута в Черном море оценили,,https://lenta.ru/news/2024/12/15/uscherb-ot-razliva-mazuta-v-chernom-more-otsenili/,"Sun, 15 Dec 2024 16:00:00 +0300"
96,Назначенный премьер Франции угрожал лишить фракцию Макрона поддержки в парламенте,,https://lenta.ru/news/2024/12/15/naznachennyy-premier-frantsii-ugrozhal-lishit-fraktsiyu-makrona-podderzhki-v-parlamente/,"Sun, 15 Dec 2024 15:56:00 +0300"
97,Турция сообщила США о цели уничтожить рабочую партию Курдистана,,https://lenta.ru/news/2024/12/15/turtsiya-soobschila-ssha-o-tseli-unichtozhit-rabochuyu-partiyu-kurdistana/,"Sun, 15 Dec 2024 15:52:00 +0300"
98,В ФИФА ответили на претензии Украины из-за ролика с российским Крымом,,https://lenta.ru/news/2024/12/15/v-fifa-otvetili-na-pretenzii-ukrainy-iz-za-rolika-s-rossiyskim-krymom/,"Sun, 15 Dec 2024 15:49:24 +0300"
99,В Иране захотели доработать законопроект о ношении хиджаба,,https://lenta.ru/news/2024/12/15/v-irane-zahoteli-dorabotat-zakonoproekt-o-noshenii-hidzhaba/,"Sun, 15 Dec 2024 15:47:08 +0300"
100,"Производитель водки перевел ВСУ 1,3 миллиарда рублей за счет бизнеса в России",,https://lenta.ru/news/2024/12/15/proizvoditel-vodki-perevel-vsu-1-3-milliarda-rubley-za-schet-biznesa-v-rossii/,"Sun, 15 Dec 2024 15:45:06 +0300"
101,Стало известно о нарушениях в работе терпящих бедствие в Керченском проливе танкеров,,https://lenta.ru/news/2024/12/15/stalo-izvestno-o-narusheniyah-v-rabote-terpyaschih-bedstvie-v-kerchenskom-prolive-tankerov/,"Sun, 15 Dec 2024 15:39:00 +0300"
102,В Венгрии заявили о неприемлемости шагов администрации Байдена,,https://lenta.ru/news/2024/12/15/v-vengrii-zayavili-o-nepriemlemosti-shagov-administratsii-baydena/,"Sun, 15 Dec 2024 15:31:19 +0300"
103,В ФРГ объяснили позицию Шольца по ракетам Taurus для Украины,,https://lenta.ru/news/2024/12/15/taurus/,"Sun, 15 Dec 2024 15:25:46 +0300"
104,Украинский шеф-повар провел кулинарное шоу в трапезной Киево-Печерской лавры,,https://lenta.ru/news/2024/12/15/ukrainskiy-shef-povar-provel-kulinarnoe-shou-v-trapeznoy-kievo-pecherskoy-lavry/,"Sun, 15 Dec 2024 15:20:47 +0300"
105,Тарпищев заявил о рекорде по количеству выигранных турниров россиянами в 2024 году,,https://lenta.ru/news/2024/12/15/tarpischev-zayavil-o-rekorde-po-kolichestvu-vyigrannyh-turnirov-rossiyanami-v-2024-godu/,"Sun, 15 Dec 2024 15:15:10 +0300"
106,Российские следователи возбудили дело из-за крушения танкеров в акватории Черного моря,,https://lenta.ru/news/2024/12/15/rossiyskie-sledovateli-vozbudili-delo-iz-za-krushenie-tankerov-v-akvatorii-chernogo-morya/,"Sun, 15 Dec 2024 15:13:00 +0300"
107,Появилась хронология ЧП с двумя танкерами у берегов в Керчи,,https://lenta.ru/news/2024/12/15/poyavilas-hronologiya-o-chp-s-dvumya-tankerami-u-beregov-v-kerchi/,"Sun, 15 Dec 2024 15:11:00 +0300"
108,Опубликован список моряков с севшего на мель танкера в Керченском проливе,,https://lenta.ru/news/2024/12/15/opublikovan-spisok-moryakov-s-sevshego-na-mel-tankera-v-kerchenskom-prolive/,"Sun, 15 Dec 2024 15:10:00 +0300"
109,Желание США заморозить конфликт на Украине объяснили попыткой перераспределить силы,,https://lenta.ru/news/2024/12/15/zhelanie-ssha-zamorozit-konflikt-na-ukraine-ob-yasnili-popytkoy-pereraspredelit-sily/,"Sun, 15 Dec 2024 15:09:02 +0300"
110,Блинкен провел переговоры с новыми властями Сирии,,https://lenta.ru/news/2024/12/15/blinken-syria/,"Sun, 15 Dec 2024 15:01:41 +0300"
111,Патриарх Кирилл назвал богатство божьим даром и призвал им поделиться,,https://lenta.ru/news/2024/12/15/patriarh-kirill-nazval-bogatstvo-bozhim-darom-i-prizval-im-podelitsya/,"Sun, 15 Dec 2024 14:54:00 +0300"
112,Один моряк погиб в результате крушения танкеров в Керченском проливе,,https://lenta.ru/news/2024/12/15/odin-moryak-pogib-v-rezultate-krusheniya-tankerov-v-kerchenskom-prolive/,"Sun, 15 Dec 2024 14:52:00 +0300"
113,Группа украинских военных воспользовалась российской листовкой для сдачи в плен,,https://lenta.ru/news/2024/12/15/gruppa-ukrainskih-voennyh-vospolzovalas-rossiyskoy-listovkoy-dlya-sdachi-v-plen/,"Sun, 15 Dec 2024 14:47:00 +0300"
114,Крушение танкеров в Черном море объяснили сезонными штормами,,https://lenta.ru/news/2024/12/15/krushenie-tankerov-v-chernom-more-ob-yasnili-sezonnymi-shtormami/,"Sun, 15 Dec 2024 14:42:00 +0300"
115,Очевидец рассказал о крушении танкера в Керченском проливе,,https://lenta.ru/news/2024/12/15/ochevidets-rasskazal-o-krushenii-tankera-v-kerchenskom-prolive/,"Sun, 15 Dec 2024 14:42:00 +0300"
116,Названа одна из версий крушения танкеров в Керченском проливе,,https://lenta.ru/news/2024/12/15/nazvana-odna-iz-versiy-krusheniya-tankerov-v-kerchenskom-prolive/,"Sun, 15 Dec 2024 14:39:00 +0300"
117,Глава Службы внешней разведки России дал комментарий о кандидате Трампа на пост главы ЦРУ,,https://lenta.ru/news/2024/12/15/glava-sluzhby-vneshney-razvedki-rossii-dal-kommentariy-o-kandidate-trampa-na-post-glavy-tsru/,"Sun, 15 Dec 2024 14:32:55 +0300"
118,Стало известно о 13 спасенных моряках с терпящих бедствие в Керченском проливе танкеров,,https://lenta.ru/news/2024/12/15/stalo-izvestno-o-13-spasennyh-moryakah-s-terpyaschih-bedstvie-v-kerchenskom-prolive-tankerov/,"Sun, 15 Dec 2024 14:24:00 +0300"
119,В Лондоне из-за стрельбы погибла женщина,,https://lenta.ru/news/2024/12/15/v-londone-iz-za-strelby-pogibla-zhenschina/,"Sun, 15 Dec 2024 14:22:00 +0300"
